naam;categorie;energie;vet;verzadigd_vet;koolhydraten;suikers;vezels;eiwit;zout
Magere kwark;Zuivel;52;0;0;4;4;0;9;0,108
Volkoren brood;Brood, granen & wraps;221;1;0,2;41;1,5;7,5;8;0,59
Rijst;Rijst, pasta & noedels;354;1;0,2;77;0,1;0,9;8,3;0,001
Salsa;Sauzen & smaakmakers;34,4;0,212;0,012;6,4;4,4;1,84;1,28;0,172
Kipfilet;Vlees & gevogelte;111;2;0,7;1;0,5;0;22;2
Noodles;Rijst, pasta & noedels;345;0;0;80,6;0;0;5,6;1,5
Appel;Fruit;59;0,2;0;13;10;2;0,3;0
Komkommer;Groenten & aardappelen;13;0,435;0,087;1,3;1,3;0,609;0,696;0,0087
Aardappel;Groenten & aardappelen;88;0,1;0,02;19;0,8;1,8;2;0
Kip;Vlees & gevogelte;109;1,5;0,4;0;0;0;23,3;0,13
Gehakt;Vlees & gevogelte;210;14;5,6;0;0;0;21;0,1
Pesto;Sauzen & smaakmakers;470;45;5,8;8,5;7,6;1,4;7,1;2,5
Pasta;Rijst, pasta & noedels;357;1,4;0,3;72;3,1;3,2;12,5;0,008
Parmazaanse kaas;Zuivel;407;31;21;0;0;0;32;1,3
Broccoli;Groenten & aardappelen;34;0,4;0,1;4;1,7;3;2,8;0,08
Wrap;Brood, granen & wraps;326;7,3;0,9;55;3,2;2,3;9,4;0,9
